locale|en

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_1|Now this one’s interesting - an old Rusatom Antonoff K37, designation {random/ship/1/shipname}, drifting in the A-Ring. No distress beacons, no signs of impact. Just... dead quiet. First one here gets the prize!

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_2|Fresh ping from the polar telescope array. A K37-TNTRL, tag {random/ship/1/shipname}, is drifting cold in a shadowed ridge near the A-ring bulge. No thruster signatures, no distress pings. Either the crew bailed, or someone made sure they would not. If you can get her running, she is yours.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_3|Heads up, wreck chasers. A K37-TNTRL, tag {random/ship/1/shipname}, was spotted by an excavator crew skimming for beryllium-rich deposits. No scorch marks, no hull breaches, just sitting idle in the dust. Could be a clean haul, or you might have to fight someone who thinks they own it.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_LCB_1|Long-range scans picked up a drifting KX37, tag {random/ship/1/shipname}, tumbling slow near a metallic-rich debris cluster. One heat signature, no comms, registered to a deceased fellow by name of {random/person/1/firstname} {random/person/1/lastname}. You want a good hauler? This is your shot.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_LCB_2|We got a fresh ping out of a polar telescope array, and visuals seem to confirm the extended version of classic K37 - a rare find! Long-distance transponder sweeps show up as {random/ship/1/shipname}. If you can tow her, she is yours!

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_LCB_3|Rare sighting from a passing miner - a KX37-TNTRL, designation {random/ship/1/shipname}. Long cargo bay model, no visible damage. Either someone dumped her or something bigger chased her off. If you need storage, this one is worth the trip.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-R_1|Excavation crew flagged a KR37, tag {random/ship/1/shipname}, sitting cold near a mining corridor. Looks like the science team packed up in a hurry - airlock is wide open, no emergency beacons. Transponder still pinging. Could be a clean haul, or someone might come back for it.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-R_2|Fresh wreck report - KR37 by name of {random/ship/1/shipname}, spotted near a dense dust cloud. Heavy shielding still holding, but she is dead in the water. These models are rare, and their onboard computers do not come cheap. If the Obonto 600 is still intact, that alone could make the trip worth it.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-R_3|Long-range radar return on a KR37-TNTRL, designation {random/ship/1/shipname}, drifting near an old research site. Hull shows no damage, but power signatures are fluctuating. Could be a bad reactor, could be interference from the ringstorms. If you can stabilize her, you might walk away with some high-grade scientific hardware.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-T_1|We have a flagged recovery tug sighting - KTA24-TNTRL, designation {random/ship/1/shipname}, last registered to {random/person/1/lastname}. Scanners show her running dark near an old wreck site, no distress signal, no sign of a crew. This was supposed to be a routine job. If you are out there, {random/person/1/firstname}, let us know you are still breathing.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-T_2|Another freelancer thought they could cut it solo. KTA24, pinging as {random/ship/1/shipname}, got caught in an ice drift and now she is dead weight. Reverse thrusters misaligned, no maneuvering power - looks like someone did not read the manual. If you want an easy salvage, go teach this independent how the real professionals do it.

DIALOG_SALVAGE_EXPOSE_DELAYED_K37_TRTL-T_3|Another overconfident freelancer just made a donation to the rings. KTA24, tag {random/ship/1/shipname}, was spotted tumbling with thrusters flickering. No signs of a crew - probably too embarrassed to call for help. If you are looking for a tug, it is just sitting there, waiting for someone with actual skill.

