locale|uk_UA

DIALOG_SALVAGE_EXPOSE_FAST_K37_1|А ось це цікаво — старий Rusatom-Antonoff K37, позначення {random/ship/1/shipname}, дрейфує в А-кільці. Жодних сигналів біди, жодних слідів зіткнень. Просто… суцільна тиша. Чого не скажеш про територію довкола неї, так що краще вам поквапитися, якщо хочете забрати цей приз.

DIALOG_SALVAGE_EXPOSE_FAST_K37_2|Свіжий сигнал із полярного масиву телескопів: K37-TNTRL із відміткою {random/ship/1/shipname} холодніє в затіненому хребті поблизу торгового маршруту в А-кільці. Ані сигналів двигунів, ані аварійних пінгів. Може, екіпаж вискочив сам, а може, хтось добре постарався, щоб вони цього не зробили. Якщо встигнете завести її до того, як з’являться інші, вона ваша.

DIALOG_SALVAGE_EXPOSE_FAST_K37_3|Увага, мисливці за брухтом. K37-TNTRL із відміткою {random/ship/1/shipname} був помічений екіпажем екскаватора, який прочісував поклади берилію вздовж жвавого маршруту. Ні слідів кіптяви, ні пробоїн у корпусі — просто стоїть без діла серед пилу. Це може бути легкий улов, а можливо, вам доведеться ще повоювати за нього з кимось, хто вважає корабель своїм.

DIALOG_SALVAGE_EXPOSE_FAST_K37_LCB_1|Сканери далекого радіусу дії вловили KX37, що повільно перекидається, тег {random/ship/1/shipname}, біля багатого на метали скупчення уламків, що згодом стане гарячою точкою. Один тепловий слід, жодного зв'язку, зареєстрований на вже покійного хлопця на ім'я {random/person/1/firstname} {random/person/1/lastname}. Шукаєте хороший тягач? Ось ваш шанс його забрати, поки ще можна.

DIALOG_SALVAGE_EXPOSE_FAST_K37_LCB_2|Ми отримали ще один сигнал від полярних телескопів, і картинка зі жвавих сусідніх маршрутів, схоже, підтверджує подовжену версію класичного K37 — рідкісна здобич! Сканування транспондера видає {random/ship/1/shipname}. Зумієте її відтягнути — вона ваша!

DIALOG_SALVAGE_EXPOSE_FAST_K37_LCB_3|Рідкісний випадок від шахтаря, що пролітав поруч — KX37-TNTRL із позначенням {random/ship/1/shipname}. Модель із подовженим вантажним відсіком, без жодних видимих пошкоджень. Оскільки корабель знаходиться на популярному торговому шляху, його або кинули, або щось значно більше його відлякало. Якщо вам потрібне місце під вантаж, заради нього варто здійснити політ.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-R_1|Екіпаж екскаватора доповів про KR37, тег {random/ship/1/shipname}, що завмер поблизу шахтарського коридору. Схоже, науковці потрапили в місце розгулу піратів і рятувалися похапцем — шлюз широко відкритий, аварійні маячки мовчать, а транспондер продовжує передавати сигнали. Це може бути чиста знахідка, або хтось крутиться десь поблизу.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-R_2|Свіжий звіт про уламки: KR37, яка носить ім'я {random/ship/1/shipname}, було помічено біля густої хмари пилу. Важкі щити все ще тримають удар, але сама посудина стоїть мертво. Ці моделі зустрічаються рідко і їхні бортові комп'ютери обійдуться вам у кругленьку суму. Навіть якщо вцілів лише Obonto 600, це вже окупить ваш політ. Не забувайте, що зона небезпечна, тож він довго там на вас не чекатиме.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-R_3|Сигнал із далеких радарів вказує на KR37-TNTRL із позначенням {random/ship/1/shipname}, що бовтається біля старого дослідницького майданчика, який згодом став забитим піратами місцем. На корпусі жодних слідів пошкоджень, але датчики енергії скачуть туди-сюди. Можливо, барахлить реактор, а можливо, це наслідок штормів у кільцях. Якщо зумієте стабілізувати, отримаєте можливість піти звідти із першокласним науковим обладнанням.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-T_1|Щойно надійшло повідомлення про рятувальний буксир, KTA24-TNTRL, під позначенням {random/ship/1/shipname}, який востаннє числився за {random/person/1/lastname}. Сканери демонструють, що він блукає потемках біля місця старої аварії: сигналів лиха нема, як і ознак наявності екіпажу. Це мала бути звичайна рутина. Тож якщо ти десь там, {random/person/1/firstname}, подай ознаки життя, поки якийсь шахтар не забрав тебе до своїх володінь.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-T_2|Здається, ще один «вільний стрілець» подумав, що може впоратися із порятунком поодинці. KTA24 відзивається як {random/ship/1/shipname}, потрапив у крижаний затор і тепер від нього немає жодної користі. Двигуни зворотньої тяги розбалансовані, не вистачає маневрової потужності — мабуть, хтось вирішив не відкривати інструкцію. Якщо шукаєте легку наживу, ідіть і покажіть цьому інді від світу порятунку, як працюють справжні професіонали. Але пам'ятайте — "легко" не означає, що ви маєте купу часу.

DIALOG_SALVAGE_EXPOSE_FAST_K37_TRTL-T_3|Черговий надмірно впевнений фрілансер тільки-но залишив кільцям свої пожертви. KTA24 із тегом {random/ship/1/shipname} зараз бовтається із двигунами, що от-от віддадуть кінці. Ніяких ознак екіпажу — скоріш за все, їм стало соромно викликати допомогу. Якщо вам так необхідний буксир, він прямо перед вами в очікуванні справжніх умільців. Він стоїть неподалік завантаженого маршруту, тож ваші навички мають працювати однаково швидко.

DIALOG_SALVAGE_EXPOSE_FAST_EIME_1|Отакої... черговий "мажорний геній" подумав, що високопродуктивна яхта без проблем впорається з уламками кілець. EIME під маркуванням {random/ship/1/shipname} тепер є надзвичайно дорогим шматком космічного сміття. Термоядерний рушій мертвий, бортовий комп'ютер згорів, а того ідіота, що її припаркував, мабуть, підібрало найближче судно на магістралі, біля якої її і кинули. Хочете володіти помилкою мільярдера? Летить і забирайте.

DIALOG_SALVAGE_EXPOSE_FAST_EIME_2|Ну ж бо, подивіться, що щойно з'явилося на сканах далекого радіусу дії — EIME, позначення {random/ship/1/shipname}, безпорадно бовтається посеред кільця А. Ймовірно, хтось вирушив сюди за "справжнім життєвим досвідом" перед виплатою зі свого трастового фонду, і лише тепер усвідомив, що уламкам кілець абсолютно начхати, скільки коштує ваш корабель. Те, що шлях добре протоптаний, не означає, що він чистий від рингроїдів. Якщо вам свербить розжитися переоціненими технологіями, вона повністю ваша.

DIALOG_SALVAGE_EXPOSE_FAST_EIME_3|Якийсь розумник притягнув EIME — так, термоядерну яхту! — у густий коридор розкопок. І вгадайте що? Екіпаж зник; можливо, зловили попутку вздовж найближчої торгової магістралі, а яхта і досі тут. Транспондер передає {random/ship/1/shipname}; жодних аварійних маяків чи будь-яких слідів екстреного евакуювання. Вони або організували собі неймовірно дорогу подорож додому, або ж зараз десь дізнаються, який на смак вакуум.

DIALOG_SALVAGE_EXPOSE_FAST_TITAN_1|На радарах дальньої стіни щойно з'явився велетенський Antonoff-Titan K225, відгукується на {random/ship/1/shipname}, і лежить собі у безповітряному просторі, оточений полями низької щільності уламків. Скоріш за все все цінне вже давно вивезено торговельними шляхами, що перетинають цю ділянку. Тягач завеликий для стандартних буксирів, тож якщо вирішили вивозити його звідси, обов'язково кличте друзів. Про вантажні капсули нічого сказати неможливо — повні, порожні, чи взагалі заповнені піратськими "сюрпризами". Раджу бути обачними.

DIALOG_SALVAGE_EXPOSE_FAST_TITAN_2|Тут у руках привид! K225 {random/ship/1/shipname} помічений поблизу старих зон буріння. Ніяких сигнальних маяків або відповідей від екіпажів; цей гігантський шматок мертвого металу пливе по темряві. Якщо надумаєте підходити до нього, будьте готові до польоту ЕВА і налаштування живлення на борту... зсередини! Якщо любите веселенькі історії з відсутністю підтримки вакуумі — удачі! Принаймні, ви ніколи не будете самотні серед цих балакучих шахтарів довкола.

